ID,Turno,Codigo_da_RA
711,Manhã,2
712,Manhã,2
713,Manhã,2
714,Manhã,2
715,Manhã,2
716,Manhã,2
717,Manhã,2
718,Manhã,2
719,Manhã,2
720,Manhã,2
721,Manhã,2
722,Manhã,2
723,Tarde,4
724,Tarde,4
725,Tarde,4
726,Tarde,2
727,Manhã,2
728,Manhã,2
729,Manhã,2
730,Manhã,2
731,Manhã,2
732,Manhã,2
733,Manhã,2
734,Manhã,2
735,Manhã,2
736,Manhã,2
737,Manhã,2
738,Tarde,2
739,Tarde,2
740,Tarde,2
741,Tarde,2
742,Manhã,2
743,Manhã,2
744,Manhã,2
745,Manhã,2
746,Manhã,2
747,Manhã,2
748,Manhã,2
749,Manhã,2
750,Manhã,2
751,Manhã,2
752,Tarde,4
753,Tarde,2
754,Tarde,2
755,Tarde,2
756,Tarde,2
757,Manhã,2
758,Manhã,2
759,Manhã,2
760,Manhã,2
761,Manhã,2
762,Manhã,2
763,Manhã,2
764,Manhã,2
765,Tarde,4
766,Tarde,4
767,Tarde,4
768,Tarde,4
769,Tarde,2
770,Manhã,4
771,Manhã,4
772,Manhã,4
773,Manhã,4
774,Manhã,4
775,Manhã,4
776,Manhã,4
777,Manhã,4
778,Manhã,4
779,Manhã,2
780,Manhã,2
781,Manhã,2
782,Manhã,2
783,Tarde,4
784,Manhã,4
785,Tarde,1
786,Manhã,4
787,Manhã,4
788,Manhã,4
789,Manhã,4
790,Manhã,4
791,Manhã,4
792,Manhã,4
793,Manhã,23
794,Manhã,2
795,Manhã,2
796,Manhã,2
797,Manhã,2
798,Manhã,2
799,Manhã,2
800,Manhã,2
801,Manhã,2
802,Manhã,2
803,Tarde,2
804,Tarde,2
805,Tarde,2
806,Tarde,2
807,Noite,2
808,Manhã,2
809,Manhã,2
810,Manhã,2
811,Manhã,2
812,Manhã,2
813,Manhã,2
814,Manhã,2
815,Manhã,2
816,Manhã,2
817,Manhã,2
818,Manhã,2
819,Manhã,2
820,Manhã,2
821,Noite,2
822,Manhã,2
823,Manhã,2
824,Manhã,2
825,Manhã,2
826,Manhã,2
827,Manhã,2
828,Manhã,2
829,Manhã,2
830,Manhã,2
831,Manhã,2
832,Manhã,2
833,Manhã,2
834,Manhã,2
835,Manhã,2
836,Manhã,2
837,Tarde,4
838,Tarde,2
839,Tarde,2
840,Tarde,2
841,Tarde,2
842,Tarde,2
843,Manhã,3
844,Manhã,3
845,Manhã,3
846,Manhã,3
847,Manhã,3
848,Manhã,3
849,Manhã,3
850,Manhã,3
851,Manhã,3
852,Manhã,3
853,Manhã,3
854,Manhã,3
855,Tarde,3
856,Noite,3
857,Noite,2
858,Noite,2
859,Noite,2
860,Noite,2
861,Noite,2
862,Noite,2
863,Noite,2
864,Noite,2
865,Noite,2
866,Noite,2
867,Noite,2
868,Noite,2
869,Noite,2
870,Noite,2
871,Noite,2
872,Noite,2
873,Noite,2
874,Noite,2
875,Noite,2
876,Noite,2
877,Noite,2
878,Noite,2
879,Noite,2
880,Noite,2
881,Tarde,2
882,Noite,2
883,Noite,2
884,Tarde,4
885,Noite,2
886,Noite,3
887,Manhã,4
888,Manhã,4
889,Manhã,4
890,Manhã,4
891,Manhã,4
892,Manhã,4
893,Manhã,4
894,Manhã,2
895,Manhã,2
896,Manhã,2
897,Tarde,4
898,Tarde,1
899,Noite,3
900,Noite,3
901,Noite,3
902,Noite,1
903,Noite,1
904,Noite,2
905,Noite,2
906,Noite,2
907,Noite,2
908,Noite,2
909,Noite,2
910,Noite,8
911,Noite,3
912,Noite,3
913,Noite,2
914,Noite,1
915,Noite,2
916,Noite,1
917,Noite,2
918,Noite,2
919,Noite,2
920,Noite,2
921,Noite,2
922,Noite,2
923,Noite,2
924,Noite,4
925,Noite,2
926,Noite,2
927,Noite,2
928,Noite,2
929,Noite,2
930,Noite,2
931,Noite,2
932,Noite,2
933,Noite,2
934,Noite,2
935,Noite,2
936,Noite,2
937,Noite,2
938,Noite,2
939,Noite,2
940,Noite,2
941,Noite,2
942,Noite,2
943,Noite,4
944,Noite,4
945,Noite,4
946,Noite,3
947,Noite,3
948,Noite,8
949,Noite,3
950,Noite,3
951,Noite,2
952,Noite,2
953,Noite,2
954,Noite,2
955,Noite,2
956,Noite,2
957,Noite,2
958,Noite,2
959,Noite,2
960,Noite,2
961,Noite,2
962,Noite,2
963,Noite,2
964,Noite,2
965,Noite,2
966,Noite,2
967,Noite,2
968,Noite,2
969,Noite,2
970,Noite,2
971,Noite,2
972,Noite,2
973,Noite,2
974,Noite,2
975,Noite,2
976,Noite,2
977,Noite,2
978,Noite,23
979,Noite,2
980,Noite,2
981,Noite,2
982,Noite,2
983,Noite,2
984,Noite,2
985,Noite,2
986,Noite,23
987,Noite,3
988,Noite,3
989,Noite,2
990,Noite,2
991,Noite,2
992,Noite,2
993,Noite,2
994,Noite,2
995,Noite,2
996,Noite,2
997,Noite,1
998,Noite,2
999,Noite,2
1000,Noite,2
1001,Noite,2
1002,Noite,2
1003,Noite,2
1004,Noite,2
1005,Noite,2
1006,Noite,2
1007,Noite,1
1008,Noite,2
1009,Noite,2
1010,Noite,2
1011,Noite,2
1012,Noite,2
1013,Noite,2
1014,Noite,2
1015,Noite,2
1016,Noite,2
1017,Noite,2
1018,Noite,2
1019,Noite,3
1020,Noite,8
1021,Noite,3
1022,Noite,2
1023,Noite,2
1024,Noite,2
1025,Noite,2
1026,Noite,2
1027,Noite,2
1028,Noite,2
1029,Noite,2
1030,Noite,2
1031,Noite,2
1032,Noite,2
1033,Noite,2
1034,Noite,2
1035,Noite,2
1036,Noite,2
1037,Noite,2
1038,Noite,2
1039,Noite,2
1040,Noite,1
1041,Noite,2
1042,Noite,2
1043,Noite,2
1044,Noite,2
1045,Noite,2
1046,Noite,2
1047,Noite,2
1048,Noite,2
1049,Noite,2
1050,Noite,2
1051,Noite,2
1052,Noite,2
1053,Noite,2
1054,Noite,2
1055,Noite,2
1056,Noite,2
1057,Noite,2
1058,Noite,2
1059,Noite,2
1060,Noite,2
1061,Noite,2
1062,Noite,2
1063,Noite,1
1064,Noite,2
1065,Noite,2
1066,Noite,1
1067,Noite,2
1068,Noite,2
1069,Noite,2
1070,Noite,2
1071,Noite,2
1072,Noite,2
1073,Noite,2
1074,Noite,2
1075,Noite,2
1076,Noite,4
1077,Noite,4
1078,Noite,4
1079,Noite,2
1080,Noite,2
1081,Noite,2
1082,Noite,2
1083,Noite,2
1084,Noite,2
1085,Noite,2
1086,Noite,2
1087,Noite,2
1088,Noite,3
1089,Noite,3
1090,Noite,3
1091,Noite,3
1092,Noite,2
1093,Noite,2
1094,Noite,2
1095,Noite,2
1096,Noite,2
1097,Noite,2
1098,Noite,2
1099,Noite,2
1100,Noite,2
1101,Noite,2
1102,Noite,2
1103,Noite,2
1104,Noite,2
1105,Noite,2
1106,Noite,4
1107,Noite,2
1108,Noite,2
1109,Noite,2
1110,Noite,2
1111,Noite,2
1112,Noite,3
1113,Noite,4
1114,Noite,4
1115,Noite,2
1116,Noite,2
1117,Noite,2
1118,Noite,2
1119,Noite,2
1120,Noite,2
1121,Noite,2
1122,Noite,4
1123,Noite,2
1124,Noite,2
1125,Noite,2
1126,Noite,2
1127,Noite,2
1128,Noite,3
1129,Noite,1
1130,Noite,2
1131,Noite,2
1132,Noite,2
1133,Noite,2
1134,Noite,2
1135,Noite,2
1136,Noite,2
1137,Noite,2
1138,Noite,2
1139,Noite,2
1140,Noite,2
1141,Noite,4
1142,Noite,4
1143,Noite,2
1144,Noite,2
1145,Noite,2
1146,Noite,2
1147,Noite,2
1148,Noite,2
1149,Noite,2
1150,Noite,2
1151,Noite,2
1152,Noite,2
1153,Noite,2
1154,Noite,2
1155,Noite,2
1156,Noite,2
1157,Noite,2
1158,Noite,2
1159,Noite,2
1160,Noite,2
1161,Noite,2
1162,Noite,2
