morador_id,codigo
196,codigo_DOC3
196,codigo_DOC4
196,codigo_DOC5
197,codigo_DOC1
197,codigo_DOC2
197,codigo_DOC3
197,codigo_DOC5
199,codigo_DOC1
199,codigo_DOC2
199,codigo_DOC3
199,codigo_DOC4
200,codigo_DOC4
200,codigo_DOC5
201,codigo_DOC1
201,codigo_DOC2
201,codigo_DOC3
202,codigo_DOC1
202,codigo_DOC2
202,codigo_DOC3
202,codigo_DOC4
202,codigo_DOC5
204,codigo_DOC1
204,codigo_DOC2
204,codigo_DOC3
204,codigo_DOC4
204,codigo_DOC5
206,codigo_DOC1
206,codigo_DOC3
206,codigo_DOC4
206,codigo_DOC5
208,codigo_DOC1
208,codigo_DOC2
208,codigo_DOC3
208,codigo_DOC4
211,codigo_DOC1
211,codigo_DOC2
211,codigo_DOC3
211,codigo_DOC5
212,codigo_DOC2
214,codigo_DOC1
214,codigo_DOC2
214,codigo_DOC4
214,codigo_DOC5
216,codigo_DOC1
216,codigo_DOC2
216,codigo_DOC3
216,codigo_DOC4
217,codigo_DOC1
217,codigo_DOC2
217,codigo_DOC3
217,codigo_DOC5
218,codigo_DOC1
218,codigo_DOC2
218,codigo_DOC3
218,codigo_DOC5
221,codigo_DOC2
222,codigo_DOC1
222,codigo_DOC3
223,codigo_DOC1
223,codigo_DOC2
223,codigo_DOC3
223,codigo_DOC4
223,codigo_DOC5
225,codigo_DOC1
225,codigo_DOC2
225,codigo_DOC3
225,codigo_DOC4
225,codigo_DOC5
227,codigo_DOC2
227,codigo_DOC3
228,codigo_DOC2
228,codigo_DOC5
229,codigo_DOC4
229,codigo_DOC5
230,codigo_DOC1
230,codigo_DOC2
230,codigo_DOC3
231,codigo_DOC1
231,codigo_DOC2
231,codigo_DOC3
232,codigo_DOC1
232,codigo_DOC2
232,codigo_DOC3
233,codigo_DOC1
233,codigo_DOC2
233,codigo_DOC3
233,codigo_DOC4
234,codigo_DOC1
234,codigo_DOC2
234,codigo_DOC4
234,codigo_DOC5
237,codigo_DOC1
237,codigo_DOC2
237,codigo_DOC3
237,codigo_DOC4
237,codigo_DOC5
238,codigo_DOC1
238,codigo_DOC2
238,codigo_DOC3
238,codigo_DOC4
238,codigo_DOC5
239,codigo_DOC3
240,codigo_DOC1
240,codigo_DOC2
240,codigo_DOC3
241,codigo_DOC1
241,codigo_DOC2
241,codigo_DOC3
241,codigo_DOC4
241,codigo_DOC5
242,codigo_DOC1
242,codigo_DOC2
242,codigo_DOC3
245,codigo_DOC1
245,codigo_DOC2
245,codigo_DOC3
246,codigo_DOC1
