ID,Codigo_da_RA,nome_bairro
5905,19,Sepetiba
5905,19,Santa Cruz
5912,19,Paciência
5912,19,Sepetiba
5912,19,Santa Cruz
5915,19,Paciência
5915,19,Sepetiba
5915,19,Santa Cruz
5921,19,Paciência
5921,19,Sepetiba
5921,19,Santa Cruz
5925,19,Paciência
5925,19,Sepetiba
5925,19,Santa Cruz
5933,19,Paciência
5933,19,Sepetiba
5933,19,Santa Cruz
5936,19,Paciência
5936,19,Sepetiba
5936,19,Santa Cruz
5943,19,Paciência
5943,19,Sepetiba
5943,19,Santa Cruz
5953,19,Paciência
5953,19,Sepetiba
5953,19,Santa Cruz
5954,19,Paciência
5954,19,Sepetiba
5954,19,Santa Cruz
5963,19,Paciência
5963,19,Sepetiba
5963,19,Santa Cruz
5972,19,Paciência
5972,19,Sepetiba
5972,19,Santa Cruz
5973,19,Paciência
5973,19,Sepetiba
5973,19,Santa Cruz
5974,19,Paciência
5974,19,Sepetiba
5974,19,Santa Cruz
5979,19,Paciência
5979,19,Sepetiba
5979,19,Santa Cruz
5980,19,Paciência
5980,19,Sepetiba
5980,19,Santa Cruz
5984,19,Paciência
5984,19,Sepetiba
5984,19,Santa Cruz
5986,19,Paciência
5986,19,Sepetiba
5986,19,Santa Cruz
5990,19,Paciência
5990,19,Sepetiba
5990,19,Santa Cruz
5991,19,Paciência
5991,19,Sepetiba
5991,19,Santa Cruz
6004,19,Paciência
6004,19,Sepetiba
6004,19,Santa Cruz
6011,19,Paciência
6011,19,Sepetiba
6011,19,Santa Cruz
6013,19,Paciência
6013,19,Sepetiba
6013,19,Santa Cruz
6020,19,Paciência
6020,19,Sepetiba
6020,19,Santa Cruz
6027,19,Paciência
6027,19,Sepetiba
6027,19,Santa Cruz
6033,19,Paciência
6033,19,Sepetiba
6033,19,Santa Cruz
6037,19,Paciência
6037,19,Sepetiba
6037,19,Santa Cruz
6038,19,Paciência
6038,19,Sepetiba
6038,19,Santa Cruz
6043,19,Paciência
6043,19,Sepetiba
6043,19,Santa Cruz
6046,19,Paciência
6046,19,Sepetiba
6046,19,Santa Cruz
6049,19,Paciência
6049,19,Sepetiba
6049,19,Santa Cruz
6051,19,Paciência
6051,19,Sepetiba
6051,19,Santa Cruz
6053,19,Paciência
6053,19,Sepetiba
6053,19,Santa Cruz
6062,19,Paciência
6062,19,Sepetiba
6062,19,Santa Cruz
6065,19,Paciência
6065,19,Sepetiba
6065,19,Santa Cruz
6067,19,Paciência
6067,19,Sepetiba
6067,19,Santa Cruz
6069,19,Paciência
6069,19,Sepetiba
6069,19,Santa Cruz
6072,19,Paciência
6072,19,Sepetiba
6072,19,Santa Cruz
6082,19,Paciência
6082,19,Sepetiba
6082,19,Santa Cruz
6083,19,Paciência
6083,19,Sepetiba
6083,19,Santa Cruz
6088,19,Paciência
6088,19,Sepetiba
6088,19,Santa Cruz
6095,19,Paciência
6095,19,Sepetiba
6095,19,Santa Cruz
6101,19,Paciência
6101,19,Sepetiba
6101,19,Santa Cruz
6103,19,Paciência
6103,19,Sepetiba
6103,19,Santa Cruz
6105,19,Paciência
6105,19,Sepetiba
6105,19,Santa Cruz
6115,19,Paciência
6115,19,Sepetiba
6115,19,Santa Cruz
6120,19,Paciência
6120,19,Sepetiba
6120,19,Santa Cruz
6121,19,Paciência
6121,19,Sepetiba
6121,19,Santa Cruz
6124,19,Paciência
6124,19,Sepetiba
6124,19,Santa Cruz
6126,19,Paciência
6126,19,Sepetiba
6126,19,Santa Cruz
6137,19,Paciência
6137,19,Sepetiba
6137,19,Santa Cruz
6138,19,Paciência
6138,19,Sepetiba
6138,19,Santa Cruz
6140,19,Paciência
6140,19,Sepetiba
